2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files69 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files14 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files16 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files89 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files90 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files2 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files3 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files82 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files94 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files70 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files63 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files55 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files73 to /user/vihit/output
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files90 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Archiving file files69 to /home/vihit/Desktop/IngestionITTests/archive
2019-11-21 14:26:03 INFO  root:26 - [ HDFS-INGESTION ] : Ingesting file files49 to /user/vihit/output
